,day,values,values_type,type,type_pretty,vaccine_efficacy,prevalence,plot_type
370,16.0,9.868028571428566,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
371,17.0,10.055978571428561,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
372,18.0,10.087878571428561,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
373,19.0,9.894785714285716,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
374,20.0,9.556992857142859,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
375,21.0,9.098200000000002,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
376,22.0,8.51130714285715,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
377,23.0,7.925421428571433,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
378,24.0,7.4712071428571445,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
379,25.0,6.982107142857146,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
380,26.0,6.343692857142859,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
381,27.0,5.651428571428573,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
382,28.0,4.925257142857142,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
383,29.0,4.211271428571424,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
384,30.0,3.6538928571428575,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
385,31.0,3.265257142857145,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
386,32.0,2.916121428571429,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
387,33.0,2.5433785714285695,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
388,34.0,2.173507142857141,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
389,35.0,1.8584642857142868,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
390,36.0,1.6023500000000013,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
391,37.0,1.390049999999998,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
392,38.0,1.2317642857142832,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
393,39.0,1.0916285714285698,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
394,40.0,0.9599285714285708,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
395,41.0,0.8520071428571427,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
396,42.0,0.7498000000000016,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
397,43.0,0.6583214285714303,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
398,44.0,0.5831500000000014,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
399,45.0,0.524007142857144,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
400,46.0,0.4742071428571412,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
401,47.0,0.4246999999999993,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
402,48.0,0.37346428571428747,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
403,49.0,0.3225071428571441,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
404,50.0,0.2751285714285712,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
405,51.0,0.23892142857143028,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
406,52.0,0.21502857142857376,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
407,53.0,0.19126428571428686,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
408,54.0,0.16963571428571605,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
409,55.0,0.15072857142857085,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
410,56.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
411,57.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
412,58.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
413,0.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
414,1.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
415,2.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
416,3.0,0.5114571428571456,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
417,4.0,0.7021142857142877,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
418,5.0,1.072428571428568,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
419,6.0,1.5854642857142827,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
420,7.0,2.2257499999999966,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
421,8.0,2.969799999999992,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
422,9.0,3.6514428571428574,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
423,10.0,4.1420071428571505,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
424,11.0,4.623392857142858,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
425,12.0,5.19466428571429,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
426,13.0,5.755492857142862,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
427,14.0,6.258514285714288,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
428,15.0,6.690685714285718,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
429,16.0,7.014464285714283,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
430,17.0,7.23804285714285,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
431,18.0,7.394942857142853,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
432,19.0,7.45721428571428,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
433,20.0,7.410971428571424,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
434,21.0,7.248785714285717,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
435,22.0,6.972064285714286,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
436,23.0,6.689349999999999,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
437,24.0,6.481807142857143,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
438,25.0,6.213399999999999,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
439,26.0,5.825057142857145,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
440,27.0,5.384914285714288,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
441,28.0,4.913685714285713,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
442,29.0,4.413835714285712,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
443,30.0,3.9805428571428547,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
444,31.0,3.6809357142857113,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
445,32.0,3.3940928571428555,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
446,33.0,3.059857142857142,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
447,34.0,2.7220142857142844,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
448,35.0,2.4030857142857127,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
449,36.0,2.1116500000000014,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
450,37.0,1.877621428571428,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
451,38.0,1.707128571428569,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
452,39.0,1.5520999999999996,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
453,40.0,1.3827714285714305,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
454,41.0,1.2195857142857156,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
455,42.0,1.0707142857142862,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
456,43.0,0.9331499999999996,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
457,44.0,0.821792857142859,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
458,45.0,0.7374928571428602,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
459,46.0,0.6621857142857164,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
460,47.0,0.5835857142857159,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
461,48.0,0.5087285714285729,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
462,49.0,0.4457500000000018,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
463,50.0,0.38706428571428625,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
464,51.0,0.3352285714285727,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
465,52.0,0.3005857142857166,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
466,53.0,0.2715428571428577,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
467,54.0,0.24463571428571285,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
468,55.0,0.220878571428569,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
469,56.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
470,57.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
471,58.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine)"
472,0.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
473,1.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
474,2.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
475,3.0,1.2293142857142851,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
476,4.0,1.5813000000000028,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
477,5.0,2.2222857142857158,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
478,6.0,3.0515285714285723,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
479,7.0,3.9842642857142847,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
480,8.0,4.9971428571428556,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
481,9.0,5.8811928571428576,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
482,10.0,6.510585714285712,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
483,11.0,7.156592857142852,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
484,12.0,7.886057142857136,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
485,13.0,8.523335714285711,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
486,14.0,9.01145,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
487,15.0,9.337957142857142,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
488,16.0,9.572007142857142,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
489,17.0,9.738485714285712,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
490,18.0,9.762814285714285,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
491,19.0,9.612799999999998,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
492,20.0,9.331792857142856,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
493,21.0,8.954464285714282,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
494,22.0,8.48453571428571,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
495,23.0,8.025471428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
496,24.0,7.691542857142855,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
497,25.0,7.336835714285716,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
498,26.0,6.8505571428571495,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
499,27.0,6.325800000000004,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
500,28.0,5.80762142857143,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
501,29.0,5.304471428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
502,30.0,4.871885714285714,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
503,31.0,4.55079285714286,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
504,32.0,4.225000000000002,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
505,33.0,3.8461285714285696,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
506,34.0,3.4746785714285693,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
507,35.0,3.128257142857143,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
508,36.0,2.805607142857143,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
509,37.0,2.534507142857143,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
510,38.0,2.359449999999999,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
511,39.0,2.20842857142857,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
512,40.0,2.0322071428571418,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
513,41.0,1.8582785714285703,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
514,42.0,1.6895214285714266,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
515,43.0,1.5280642857142854,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
516,44.0,1.3943642857142848,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
517,45.0,1.2819928571428574,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
518,46.0,1.1737785714285727,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
519,47.0,1.0634000000000015,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
520,48.0,0.9574642857142867,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
521,49.0,0.860435714285714,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
522,50.0,0.7674000000000011,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
523,51.0,0.6923857142857139,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
524,52.0,0.6427142857142851,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
525,53.0,0.6036428571428567,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
526,54.0,0.5700214285714265,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
527,55.0,0.5418214285714282,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
528,56.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
529,57.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
530,58.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
531,0.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
532,1.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
533,2.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
534,3.0,1.1825142857142907,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
535,4.0,1.5232000000000028,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
536,5.0,2.1408642857142866,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
537,6.0,2.951771428571427,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
538,7.0,3.8684642857142855,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
539,8.0,4.842985714285717,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
540,9.0,5.696985714285715,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
541,10.0,6.323657142857144,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
542,11.0,6.93327857142857,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
543,12.0,7.581857142857138,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
544,13.0,8.107635714285715,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
545,14.0,8.484542857142857,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
546,15.0,8.733892857142857,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
547,16.0,8.874307142857145,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
548,17.0,8.953892857142854,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
549,18.0,8.96793571428571,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
550,19.0,8.871042857142855,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
551,20.0,8.683085714285713,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
552,21.0,8.404378571428568,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
553,22.0,8.00601428571428,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
554,23.0,7.629392857142853,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
555,24.0,7.358421428571424,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
556,25.0,7.029199999999997,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
557,26.0,6.580735714285712,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
558,27.0,6.091621428571429,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
559,28.0,5.595621428571432,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
560,29.0,5.104778571428576,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
561,30.0,4.682364285714289,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
562,31.0,4.378764285714289,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
563,32.0,4.069871428571431,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
564,33.0,3.6810857142857145,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
565,34.0,3.2997214285714245,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
566,35.0,2.951449999999996,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
567,36.0,2.6265428571428573,trend,Total infected derivative spline,10%,Vaccine Efficacy 50%,Low,"nov/dic, no screening
(senza mascherine - ffp2)"
